SIGNAL_NAME,Lat,Lng
DN BYT INT HOME,2143.6048,8156.4125
DN BYT STR,2144.067,8156.8662
DN BYT ADV STR,2144.3413,8157.1469
DN AUTO SIGNAL R112,2144.7435,8157.5464
DN NEU SEC,2144.9321,8157.7291
DN AUTO SIGNAL R108,2145.1902,8157.991
DN AUTO SIGNAL R104,2145.6384,8158.4376
DN SA G:AR100,2146.0871,8158.8847
DN L XING:382,2146.1973,8158.9926
DN AUTO SIGNAL R96,2146.4772,8159.2725
DN AUTO SIGNAL R92,2146.8524,8159.7032
DN AUTO SIGNAL R88,2147.1561,8200.1912
DN SA G:AR84,2147.4551,8200.6712
DN L XING:380,2147.543,8200.81
DN AUTO SIGNAL R80,2147.7927,8201.213
DN SA G:AR76,2148.1756,8201.76
DN L XING:379,2148.2772,8201.8261
DN AUTO SIGNAL R72,2148.6099,8202.0423
DN NPI HOME,2149.1198,8202.3725
DN NPI STR,2149.7481,8202.7734
DN NPI ADV STR,2150.0677,8202.9833
DN AUTO SIGNAL R62,2150.6575,8203.3657
DN NEU SEC,2151.0037,8203.5878
DN AUTO SIGNAL R58,2151.2893,8203.7759
DN AUTO SIGNAL R54,2151.9101,8204.0999
DN AUTO SIGNAL R46,2152.6532,8204.259
DN SA G:AR42,2153.3996,8204.2124
DN L XING:376,2153.5886,8204.1845
DN DGS HOME,2153.8804,8204.143
DN DGS STR,2154.6055,8204.144
DN DGS ADV STR,2154.8658,8204.1523
DN SA G:AR38,2155.0381,8204.1615
DN L XING:375,2155.1423,8204.1625
DN AUTO SIGNAL R34,2155.5582,8204.1789
DN AUTO SIGNAL R30,2156.0899,8204.1966
DN SA G:AR26,2156.6805,8204.2193
DN L XING:374,2156.7773,8204.2177
DN BYL HOME,2157.1214,8204.2338
DN L XING:373,2157.4771,8204.4204
DN BYL STR,2157.9713,8204.8354
DN BYL ADV STR,2158.1424,8204.9809
DN SA G:AR22,2158.3802,8205.1811
DN L XING:372,2158.471,8205.2583
DN AUTO SIGNAL R18,2158.9312,8205.6469
DN AUTO SIGNAL R14,2159.3809,8206.0258
DN AUTO SIGNAL R10,2200.0738,8206.6118
DN CHBT PH,2200.1048,8206.6357
DN AUTO SIGNAL R6,2200.5736,8206.9062
DN DPH HOME,2201.2145,8207.1752
DN DPH STR,2201.9769,8207.5034
DN DPH ADV STR,2202.1857,8207.5932
DN AUTO SIGNAL R2,2202.6901,8207.9306
DN NEU SEC,2202.9582,8208.1284
DN BSP HOME,2203.2166,8208.3173
DN BSP INT HOME,2203.6683,8209.0244
DN BSP INT HOME,2203.4768,8209.8867
DN BSP STR,2203.3025,8210.528
DN BSP ADV STR,2203.1598,8211.0757
DN AUTO SIGNAL J2,2203.0212,8211.6142
DN AUTO SIGNAL J6,2202.8303,8212.4104
DN GTW HOME,2202.9987,8213.1519
DN GTW STR,2203.2988,8213.8729
DN GTW INT STR,2203.3401,8214.4744
DN GTW ADV STR,2203.2983,8214.6187
DN AUTO SIGNAL J10,2203.0151,8215.3048
DN AUTO SIGNAL J14,2202.7808,8215.8695
DN SA G:AJ18,2202.5331,8216.464
DN L XING:361,2202.4905,8216.5665
DN NEU SEC AHEAD,2202.3626,8216.8758
DN JRMG HOME,2202.2705,8217.0992
DN JRMG STR,2202.0466,8217.8889
DN L XING:360,2202.0245,8218.0093
DN JRMG ADV STR,2202.0122,8218.0817
DN AUTO SIGNAL J22,2201.9063,8218.8254
DN AUTO SIGNAL J26,2201.7993,8219.6003
DN AUTO SIGNAL J30,2201.5794,8220.2979
DN AUTO SIGNAL J34,2201.4125,8220.9375
DN KTSH,2201.4415,8221.4107
DN AUTO SIGNAL J38,2201.4583,8221.6207
DN AUTO SIGNAL J42,2201.5144,8222.3155
DN AUTO SIGNAL J46,2201.5648,8222.9437
DN L XING:355,2201.5754,8223.0731
DN LATIA HOME,2201.6344,8223.8069
DN L XING:354,2201.6449,8223.939
DN LATIA STR,2201.6552,8224.0678
DN AKT HOME,2201.712,8224.7633
DN AKT STR,2201.7713,8225.4751
DN AKT ADV STR,2201.7878,8225.663
DN AUTO SIGNAL J52,2201.8748,8226.1547
DN SA G:AJ56,2201.956,8226.5982
DN L XING:351,2201.9847,8226.7494
DN AUTO SIGNAL J60,2202.0697,8227.326
DN AUTO SIGNAL J64,2201.9311,8227.9951
DN AUTO SIGNAL J68,2201.7581,8228.6712
DN SA G:AJ72,2201.6011,8229.284
DN KPNA,2201.5623,8229.4907
DN AUTO SIGNAL J76,2201.5875,8230.0536
DN NEU SEC AHEAD,2201.6244,8230.5822
DN AUTO SIGNAL J80,2201.6415,8230.8645
DN AUTO SIGNAL J84,2201.6899,8231.6
DN AUTO SIGNAL J88,2201.6082,8232.376
DN NIA HOME,2201.5205,8232.9989
DN L XING:345,2201.4502,8233.5117
DN NIA STR,2201.3835,8234.0067
DN NIA ADV STR,2201.3302,8234.3702
DN AUTO SIGNAL J92,2201.2377,8235.0115
DN AUTO SIGNAL J96,2201.197,8235.6361
DN AUTO SIGNAL J100,2201.2041,8236.3833
DN AUTO SIGNAL J104,2201.2096,8236.9661
DN AUTO SIGNAL J108,2201.2149,8237.5876
DN AUTO SIGNAL J112,2201.3698,8238.1546
DN AUTO SIGNAL J116,2201.6724,8238.6593
DN CPH HOME,2202.0501,8239.2564
DN L XING:338,2202.0796,8239.3514
DN CPH STR,2202.057,8240.0337
DN CPH ADV STR,2201.9679,8240.5455
DN NEU SEC AHEAD,2201.908,8240.883
DN SAG:AJ122,2201.8729,8241.0545
DN L XING:336,2201.8512,8241.1754
DN SAG:AJ124,2201.7883,8241.525
DN L XING:335,2201.7661,8241.6489
DN AUTO SIGNAL J126,2201.6452,8242.3169
DN SAG:AJ128,2201.5036,8243.0977
DN L XING:334,2201.4673,8243.2982
DN SRGD HOME,2201.3584,8243.8997
DN SRGD STR,2201.2053,8244.734
DN SRGD ADV STR,2201.1613,8244.9782
DN SRGD PH,2201.1994,8244.7588
DN BUA DIST,2200.9328,8246.8288
DN BUA INNR DIST,2200.8679,8247.4054
DN BUA HOME,2200.801,8247.9997
DN BUA STR,2200.6956,8248.9428
DN L XING:328,2200.6797,8249.105
DN BUA INT STR 66,2200.6797,8249.2024
DN BUA INT STR 68,2200.7227,8249.6151
DN BUA INT STR 70,2200.8011,8250.2703
DN BUA ADV STR,2200.8163,8250.391
DN IB DIST,2200.9063,8251.1542
DN IB INNR DIST,2200.9749,8251.7912
DN JDDA PH,2200.9777,8252.0549
DN IB,2200.979,8252.3971
DN GATE SIG,2200.981,8252.7612
DN L XING:324,2200.9815,8252.8828
DN SKT DIST,2200.5831,8255.6946
DN SKT INNR DIST,2200.6172,8256.2839
DN SKT HOME,2200.6644,8256.866
DN SKT STR,2200.7255,8257.5449
DN L XING:321,2200.7272,8257.6423
DN SKT ADV STR,2200.7577,8257.9943
DN L XING:320,2200.7623,8258.0916
DN IB DIST,2200.6999,8258.4782
DN IB INNR DIST,2200.5606,8259.0104
DN IB,2200.6208,8259.5955
DN JDI DIST,2200.3128,8301.5007
DN NEU SEC AHEAD,2200.2458,8301.8437
DN JDI INNR DIST,2200.1993,8302.0836
DN JDI HOME,2200.0873,8302.6618
DN JDI STR,2159.952,8303.36
DN L XING:306,2159.9008,8303.6244
DN JDI ADV STR,2159.9008,8303.6244
DN KHS DIST,2159.7778,8304.2599
DN KHS INNR DIST,2159.6477,8304.8582
DN KHS HOME,2159.507,8305.4232
DN L XING:310,2159.453,8305.7823
DN KHS STR,2159.5723,8306.403
DN KHS ADV STR,2159.5937,8306.4922
DN NEU SEC AHEAD,2159.6713,8306.8266
DN GATE INNR DIST,2159.6979,8306.9374
DN GATE SIG,2159.8295,8307.4832
DN L XING:311,2159.8511,8307.6023
DN IB,2159.8631,8307.8116
DN ROB DIST,2159.8603,8308.9482
DN ROB INNR DIST,2159.7595,8309.5583
DN ROB HOME,2159.5784,8310.1026
DN ROB STR,2159.3888,8311.166
DN L XING:305,2159.4342,8311.3195
DN ROB ADV STR,2159.4342,8311.3195
DN SPGL INNR DIST,2159.6477,8311.7874
DN SPGL HOME,2159.886,8312.303
DN L XING:303,2159.9345,8312.408
DN SPGL STR,2200.0426,8312.8031
DN GATE SIG,2159.7258,8313.6974
DN L XING:301,2159.6696,8313.7827
DN BEF DIST,2159.3801,8314.2192
DN BEF INNR DIST,2159.0634,8314.6933
DN BEF HOME,2158.7381,8315.1907
DN L XING:299,2158.6352,8315.3486
DN BEF STR,2158.3731,8315.7433
DN L XING:298,2158.3002,8315.8609
DN BEF INT STR,2158.1768,8316.0528
DN BEF ADV STR,2158.0194,8316.2845
DN NEU SEC AHEAD,2158.0584,8316.2278
